experiment,epoch,val/det_loss,val/lane/cls,val/lane/reg,val/lane/line_iou,val/lane/mask_aux,val/lane_exist_acc,val/lane_point_mae
exp01_rmt_shared_joint,1.0,2.701709909439087,0.05660079196095467,0.2375460934638977,0.9830754852294922,0.47985833406448364,0.6835000121593475,0.5232685911655426
exp01_rmt_shared_joint,2.0,3.3589970684051513,0.05669632524251938,0.2372662043571472,0.9844555974006652,0.4249593436717987,0.6570000159740448,0.5227026557922363
exp01_rmt_shared_joint,3.0,3.2006410789489745,0.05505616918206215,0.2397800076007843,0.979904808998108,0.39483574748039246,0.6780000126361847,0.5275911295413971
exp01_rmt_shared_joint,4.0,3.140048789978027,0.05394215390086174,0.23748550653457642,0.9843641543388366,0.3815105795860291,0.7120000100135804,0.523183925151825
exp01_rmt_shared_joint,5.0,3.1159736728668213,0.047378193438053134,0.24384443819522858,0.9826228165626526,0.3618174958229065,0.7370000100135803,0.5357438302040101
exp01_rmt_shared_joint,6.0,3.1463358974456788,0.04696622878313064,0.24566617369651794,0.9793053936958312,0.3406684577465057,0.7175000119209289,0.5392784214019776
exp01_rmt_shared_joint,7.0,3.106537952423096,0.04473427131772041,0.24308990001678465,0.980926206111908,0.3298481070995331,0.7990000176429749,0.5342199301719666
exp01_rmt_shared_joint,8.0,3.0878821277618407,0.04286856293678284,0.24069801092147827,0.9755080199241638,0.31989753007888794,0.8210000085830689,0.5292693269252777
exp01_rmt_shared_joint,9.0,3.084949617385864,0.04318434648215771,0.2431289756298065,0.9775249218940735,0.308797048330307,0.7745000147819519,0.5341593730449676
exp01_rmt_shared_joint,10.0,3.0828686714172364,0.04190324880182743,0.24017155885696412,0.9760791349411011,0.30489482045173644,0.7940000104904175,0.5282440078258515
exp02_rmt_gca_joint,1.0,2.612520246505737,0.05745134681463242,0.2387305325269699,0.9806574821472168,0.4802009093761444,0.687000013589859,0.5255094742774964
exp02_rmt_gca_joint,2.0,2.932929458618164,0.0559721951186657,0.23793627917766572,0.9855229568481445,0.4502790355682373,0.6765000128746033,0.5241230416297913
exp02_rmt_gca_joint,3.0,3.0784439754486086,0.05505754142999649,0.23991483688354492,0.9863877272605897,0.40189188957214356,0.6600000119209289,0.5280721449851989
exp02_rmt_gca_joint,4.0,3.2639227867126466,0.04769636109471321,0.24482592523097993,0.9788016223907471,0.3497657811641693,0.7520000147819519,0.5376458036899566
exp02_rmt_gca_joint,5.0,2.8707082653045655,0.04454899951815605,0.2399425631761551,0.9771146488189697,0.33812466263771057,0.7625000190734863,0.5278329849243164
exp02_rmt_gca_joint,6.0,2.8354657554626463,0.04867898121476173,0.23924177050590514,0.9785474848747253,0.32733420968055726,0.7100000143051147,0.5263788414001465
exp02_rmt_gca_joint,7.0,2.792814178466797,0.04666599921882152,0.23996382474899292,0.978871819972992,0.32028265357017516,0.8120000147819519,0.5279278063774109
exp02_rmt_gca_joint,8.0,2.7656865692138672,0.04347056344151497,0.2373153507709503,0.9792532777786255,0.3134040021896362,0.815000011920929,0.5226765012741089
exp02_rmt_gca_joint,9.0,2.735967197418213,0.04676014646887779,0.24197512328624726,0.9779557013511657,0.311601459980011,0.7380000066757202,0.5318305003643036
exp02_rmt_gca_joint,10.0,2.7253418254852293,0.04412250675261021,0.24136016249656678,0.9685254597663879,0.30717073202133177,0.7910000085830688,0.530354380607605
exp03_rmt_gca_lane_detail_joint,1.0,3.3593198013305665,0.055802856236696244,0.23830173254013062,0.9825886249542236,0.4295120644569397,0.6745000100135803,0.524725170135498
